Country,Year,Total,Predicted Emissions
Afghanistan,1950,500.792103,513.85846
Afghanistan,1951,545.252811,533.4392
Afghanistan,1952,528.706108,532.871
Afghanistan,1953,540.21074,542.43054
Afghanistan,1954,553.009696,550.8313
Afghanistan,1955,576.951647,563.2453
Afghanistan,1956,574.323549,567.8361
Afghanistan,1957,570.714144,570.01855
Afghanistan,1958,556.315842,568.3701
Afghanistan,1959,546.606132,563.61505
Afghanistan,1960,584.020018,579.2815
Afghanistan,1961,588.614801,585.2057
Afghanistan,1962,592.931499,591.25464
Afghanistan,1963,603.385663,600.0429
Afghanistan,1964,607.865989,601.5072
Afghanistan,1965,622.111621,605.69714
Afghanistan,1966,618.074666,605.8181
Afghanistan,1967,592.057027,601.43146
Afghanistan,1968,606.488304,613.51733
Afghanistan,1969,628.382547,645.0559
Afghanistan,1970,652.577395,656.7989
Afghanistan,1971,660.388217,656.3589
Afghanistan,1972,648.026312,645.508
Afghanistan,1973,659.577095,645.31
Afghanistan,1974,617.183621,627.96533
Afghanistan,1975,603.247048,630.66534
Afghanistan,1976,598.525992,627.3543
Afghanistan,1977,604.361731,622.69324
Afghanistan,1978,604.713507,617.42896
Afghanistan,1979,644.512763,621.94965
Afghanistan,1980,579.035415,611.3968
Afghanistan,1981,560.554477,609.5144
Afghanistan,1982,548.240368,598.8567
Afghanistan,1983,545.485136,595.98474
Afghanistan,1984,529.108173,563.99786
Afghanistan,1985,559.627325,578.4613
Afghanistan,1986,568.553975,578.03467
Afghanistan,1987,571.667598,580.58954
Afghanistan,1988,570.293732,550.5141
Afghanistan,1989,581.5761,544.6833
Afghanistan,1990,601.945078,609.4168
Afghanistan,1991,609.412673,591.66437
Afghanistan,1992,593.845922,581.41907
Afghanistan,1993,579.612537,568.9275
Afghanistan,1994,574.01689,568.12286
Afghanistan,1995,566.158959,563.0942
Afghanistan,1996,586.760676,563.66235
Afghanistan,1997,562.708106,548.8838
Afghanistan,1998,568.543698,555.3333
Afghanistan,1999,561.649574,535.7725
Afghanistan,2000,569.033716,548.67346
Afghanistan,2001,577.970573,548.172
Afghanistan,2002,560.2732,549.01465
Afghanistan,2003,571.618782,556.0496
Afghanistan,2004,573.429762,556.1144
Afghanistan,2005,570.33837,531.18146
Afghanistan,2006,567.845659,514.02234
Afghanistan,2007,559.566476,531.6849
Afghanistan,2008,544.932405,508.3844
Afghanistan,2009,494.107701,505.7797
Afghanistan,2010,511.904582,496.58914
Afghanistan,2011,469.713315,487.03693
Afghanistan,2012,487.476776,476.41125
Afghanistan,2013,477.611268,469.00845
Afghanistan,2014,438.807081,444.2609
Afghanistan,2015,422.460794,427.0054
Afghanistan,2016,399.430131,396.34485
Afghanistan,2017,387.367141,374.52173
Afghanistan,2018,379.729755,356.1548
Afghanistan,2019,364.753306,359.97235
Afghanistan,2020,326.263199,344.2376
Afghanistan,2021,346.773181,420.01904
