Country,Year,Total,Predicted Emissions
Afghanistan,1990,601.945078,601.94525
Afghanistan,1991,609.412673,609.4113
Afghanistan,1992,593.845922,593.84546
Afghanistan,1993,579.612537,597.04926
Afghanistan,1994,574.01689,574.0184
Afghanistan,1995,566.158959,566.1589
Afghanistan,1996,586.760676,586.7602
Afghanistan,1997,562.708106,562.70874
Afghanistan,1998,568.543698,568.5427
Afghanistan,1999,561.649574,561.652
Afghanistan,2000,569.033716,569.03375
Afghanistan,2001,577.970573,577.9696
Afghanistan,2002,560.2732,560.27344
Afghanistan,2003,571.618782,571.6196
Afghanistan,2004,573.429762,573.4281
Afghanistan,2005,570.33837,570.34015
Afghanistan,2006,567.845659,567.84393
Afghanistan,2007,559.566476,565.3787
Afghanistan,2008,544.932405,565.3787
Afghanistan,2009,494.107701,494.10788
Afghanistan,2010,511.904582,511.90408
Afghanistan,2011,469.713315,494.12222
Afghanistan,2012,487.476776,494.12222
Afghanistan,2013,477.611268,494.12222
Afghanistan,2014,438.807081,438.80734
Afghanistan,2015,422.460794,422.46262
Afghanistan,2016,399.430131,399.42816
Afghanistan,2017,387.367141,399.42816
Afghanistan,2018,379.729755,399.42816
Afghanistan,2019,364.753306,364.75342
Afghanistan,2020,326.263199,326.26434
Afghanistan,2021,346.773181,346.77332
