Country,Year,Total,Predicted Emissions
Afghanistan,1750,9.350528,9.353336
Afghanistan,1751,9.350528,9.353336
Afghanistan,1752,9.354192,9.355064
Afghanistan,1753,9.354192,9.355064
Afghanistan,1754,9.357856,9.355064
Afghanistan,1755,9.36152,9.355064
Afghanistan,1756,10.006384,10.0055485
Afghanistan,1757,10.010048,10.011323
Afghanistan,1758,10.013712,10.014899
Afghanistan,1759,10.017376,10.017711
Afghanistan,1760,10.017376,10.017711
Afghanistan,1761,10.97368,10.017711
Afghanistan,1762,10.977344,10.017711
Afghanistan,1763,10.981008,10.983497
Afghanistan,1764,10.984672,10.985632
Afghanistan,1765,10.988336,10.988474
Afghanistan,1766,12.259744,12.256193
Afghanistan,1767,12.263408,12.256193
Afghanistan,1768,12.267072,12.256193
Afghanistan,1769,12.270736,12.256193
Afghanistan,1770,12.2744,12.26026
Afghanistan,1771,13.61176,13.618041
Afghanistan,1772,13.615424,13.618041
Afghanistan,1773,13.619088,13.619936
Afghanistan,1774,13.622752,13.624536
Afghanistan,1775,13.626416,13.627899
Afghanistan,1776,15.037056,15.038117
Afghanistan,1777,15.04072,15.038117
Afghanistan,1778,15.044384,15.041513
Afghanistan,1779,15.048048,15.041513
Afghanistan,1780,15.055376,15.069864
Afghanistan,1781,16.843408,15.069864
Afghanistan,1782,16.847072,16.845318
Afghanistan,1783,16.8544,16.851315
Afghanistan,1784,16.858064,16.851315
Afghanistan,1785,16.865392,16.851315
Afghanistan,1786,19.148064,19.162727
Afghanistan,1787,19.155392,19.162727
Afghanistan,1788,19.159056,19.162727
Afghanistan,1789,19.166384,19.162727
Afghanistan,1790,19.173712,19.176783
Afghanistan,1791,21.41608,21.404898
Afghanistan,1792,21.423408,21.404898
Afghanistan,1793,21.430736,21.433817
Afghanistan,1794,21.4344,21.433817
Afghanistan,1795,21.441728,21.433817
Afghanistan,1796,22.412688,22.416775
Afghanistan,1797,23.5412,23.513521
Afghanistan,1798,24.515824,24.546087
Afghanistan,1799,25.798224,25.809069
Afghanistan,1800,26.633616,26.599493
Afghanistan,1801,26.71056,26.599493
Afghanistan,1802,26.849792,26.881607
Afghanistan,1803,30.19136,30.190348
Afghanistan,1804,30.330592,30.302717
Afghanistan,1805,31.462768,31.492107
Afghanistan,1806,33.2508,33.24792
Afghanistan,1807,33.258128,33.254807
Afghanistan,1808,33.26912,33.254807
Afghanistan,1809,33.280112,33.27491
Afghanistan,1810,33.291104,33.27491
Afghanistan,1811,35.562784,35.59248
Afghanistan,1812,36.936784,35.59248
Afghanistan,1813,37.376464,37.351727
Afghanistan,1814,38.08728,38.110966
Afghanistan,1815,38.922672,38.925385
Afghanistan,1816,41.436176,41.40731
Afghanistan,1817,41.923488,41.93867
Afghanistan,1818,42.022416,42.0253
Afghanistan,1819,42.33752,42.339104
Afghanistan,1820,42.528048,42.339104
Afghanistan,1821,42.872464,42.86917
Afghanistan,1822,44.521264,44.49689
Afghanistan,1823,46.873552,44.49689
Afghanistan,1824,49.082944,49.100155
Afghanistan,1825,49.59224,49.595604
Afghanistan,1826,50.145504,50.148067
Afghanistan,1827,52.23032,52.207886
Afghanistan,1828,52.589392,52.59206
Afghanistan,1829,53.336848,52.59206
Afghanistan,1830,67.864608,67.88451
Afghanistan,1831,65.765136,65.73981
Afghanistan,1832,65.589264,65.59113
Afghanistan,1833,65.494,65.49748
Afghanistan,1834,65.537968,65.54093
Afghanistan,1835,65.263168,65.285
Afghanistan,1836,76.445696,76.41765
Afghanistan,1837,73.770976,73.766495
Afghanistan,1838,75.811824,73.766495
Afghanistan,1839,77.779392,77.774765
Afghanistan,1840,80.959744,79.3778
Afghanistan,1841,81.839104,81.87937
Afghanistan,1842,85.3712,85.32933
Afghanistan,1843,89.093824,85.32933
Afghanistan,1844,93.472304,93.479164
Afghanistan,1845,99.986896,93.4342
Afghanistan,1846,95.692688,95.693985
Afghanistan,1847,103.548304,103.57036
Afghanistan,1848,109.286128,109.26451
Afghanistan,1849,116.005904,109.0553
Afghanistan,1850,122.604768,122.628426
Afghanistan,1851,116.654432,116.63199
Afghanistan,1852,116.2404,116.001915
Afghanistan,1853,115.5992,115.618355
Afghanistan,1854,139.301616,139.30653
Afghanistan,1855,130.442064,139.31084
Afghanistan,1856,140.375168,139.30653
Afghanistan,1857,137.861664,139.45168
Afghanistan,1858,135.113664,139.45168
Afghanistan,1859,150.011488,149.97333
Afghanistan,1860,167.950432,146.84645
Afghanistan,1861,175.0476,175.04738
Afghanistan,1862,169.470992,169.4934
Afghanistan,1863,180.224832,180.22852
Afghanistan,1864,193.909872,193.90709
Afghanistan,1865,205.488112,205.50058
Afghanistan,1866,211.731568,211.7305
Afghanistan,1867,217.374128,211.7719
Afghanistan,1868,213.219152,213.21735
Afghanistan,1869,223.70552,223.7024
Afghanistan,1870,228.494368,223.57187
Afghanistan,1871,242.036512,242.01697
Afghanistan,1872,254.988752,255.00172
Afghanistan,1873,264.658048,255.72874
Afghanistan,1874,257.187152,257.196
Afghanistan,1875,271.487744,271.48477
Afghanistan,1876,271.018752,271.00894
Afghanistan,1877,275.8992,270.48492
Afghanistan,1878,270.974784,270.97775
Afghanistan,1879,272.645568,272.63013
Afghanistan,1880,297.124752,297.14923
Afghanistan,1881,312.312032,312.29907
Afghanistan,1882,314.964768,314.9653
Afghanistan,1883,327.730144,327.73602
Afghanistan,1884,319.09776,316.47903
Afghanistan,1885,315.290864,315.29318
Afghanistan,1886,312.42928,312.433
Afghanistan,1887,320.442448,320.41473
Afghanistan,1888,333.16752,333.1902
Afghanistan,1889,345.024224,347.0287
Afghanistan,1890,353.022736,353.02872
Afghanistan,1891,360.471648,360.46942
Afghanistan,1892,353.00808,352.9805
Afghanistan,1893,316.210528,316.2173
Afghanistan,1894,362.102128,362.12683
Afghanistan,1895,365.549952,365.52982
Afghanistan,1896,375.98136,375.98297
Afghanistan,1897,385.969424,385.99387
